row_number,physical_quantity,physical_symbol,sensor_code,biome,role
386,Valve command / position,u_HEX01_HwVlvPos,Changes hydronic/air/water flow through equipment serving Ocean.,UAB2_BIO1_B4000_HEX01_HWVLVPOS,"Inventory BIOM=2, BIOMNAME=Ocean."
397,Valve command / position,u_CHEM_BrominatorVlvCmd,Changes hydronic/air/water flow through equipment serving EC.,UAB2_EC1_B4008_CHEM_BROMINATORVLVCMD,Inventory BIOMNAME=EC. This is central Energy Center equipment; affected biome is plant-wide or unresolved.
403,Temperature setpoint,u_CHLR3B_CWSTmpSp,Sets target temperature used by equipment serving EC.,UAB2_EC1_B4008_CHLR3B_CWSTMPSP,Inventory BIOMNAME=EC. This is central Energy Center equipment; affected biome is plant-wide or unresolved.
404,Valve command / position,u_CHLR3B_HPVlvOut,Changes hydronic/air/water flow through equipment serving EC.,UAB2_EC1_B4008_CHLR3B_HPVLVOUT,Inventory BIOMNAME=EC. This is central Energy Center equipment; affected biome is plant-wide or unresolved.
405,Valve command / position,u_CHLR3B_MinVlvPos,Changes hydronic/air/water flow through equipment serving EC.,UAB2_EC1_B4008_CHLR3B_MINVLVPOS,Inventory BIOMNAME=EC. This is central Energy Center equipment; affected biome is plant-wide or unresolved.
414,Valve command / position,u_CHWVT61_VlvCmd,Changes hydronic/air/water flow through equipment serving EC.,UAB2_EC1_B4008_CHWVT61_VLVCMD,Inventory BIOMNAME=EC. This is central Energy Center equipment; affected biome is plant-wide or unresolved.
415,Valve command / position,u_CHWVT62_VlvCmd,Changes hydronic/air/water flow through equipment serving EC.,UAB2_EC1_B4008_CHWVT62_VLVCMD,Inventory BIOMNAME=EC. This is central Energy Center equipment; affected biome is plant-wide or unresolved.
428,Valve command / position,u_CVCHR3_VlvCmd,Changes hydronic/air/water flow through equipment serving EC.,UAB2_EC1_B4008_CVCHR3_VLVCMD,Inventory BIOMNAME=EC. This is central Energy Center equipment; affected biome is plant-wide or unresolved.
429,Valve command / position,u_CVCHS1_VlvCmd,Changes hydronic/air/water flow through equipment serving EC.,UAB2_EC1_B4008_CVCHS1_VLVCMD,Inventory BIOMNAME=EC. This is central Energy Center equipment; affected biome is plant-wide or unresolved.
430,Valve command / position,u_CVCHS2_VlvCmd,Changes hydronic/air/water flow through equipment serving EC.,UAB2_EC1_B4008_CVCHS2_VLVCMD,Inventory BIOMNAME=EC. This is central Energy Center equipment; affected biome is plant-wide or unresolved.
431,Valve command / position,u_CVP6B_Cmd,Changes hydronic/air/water flow through equipment serving EC.,UAB2_EC1_B4008_CVP6B_CMD,Inventory BIOMNAME=EC. This is central Energy Center equipment; affected biome is plant-wide or unresolved.
432,Valve command / position,u_CVR3B1_VlvCmd,Changes hydronic/air/water flow through equipment serving EC.,UAB2_EC1_B4008_CVR3B1_VLVCMD,Inventory BIOMNAME=EC. This is central Energy Center equipment; affected biome is plant-wide or unresolved.
471,Valve command / position,u_SVT2B_VlvCmd,Changes hydronic/air/water flow through equipment serving EC.,UAB2_EC1_B4008_SVT2B_VLVCMD,Inventory BIOMNAME=EC. This is central Energy Center equipment; affected biome is plant-wide or unresolved.
472,Valve command / position,u_TW_MuVlvCmd,Changes hydronic/air/water flow through equipment serving EC.,UAB2_EC1_B4008_TW_MUVLVCMD,Inventory BIOMNAME=EC. This is central Energy Center equipment; affected biome is plant-wide or unresolved.
473,Valve command / position,u_TW_ROWtrVlvCmd,Changes hydronic/air/water flow through equipment serving EC.,UAB2_EC1_B4008_TW_ROWTRVLVCMD,Inventory BIOMNAME=EC. This is central Energy Center equipment; affected biome is plant-wide or unresolved.
